0.00 	 8.58e-02 	 2.40e-02 	 3.93e-02 	 1.56e-02 	 2.00e-02 	 9.00e-03 	 9.10e-03 	 5.27e-03 	 6.29e-03 	 4.15e-03
0.88 	 9.93e-02 	 2.81e-02 	 4.88e-02 	 6.20e-03 	 2.54e-02 	 1.32e-02 	 1.17e-02 	 4.53e-03 	 8.58e-03 	 3.58e-03
1.81 	 7.60e-02 	 2.29e-02 	 3.04e-02 	 5.19e-03 	 2.08e-02 	 5.26e-03 	 1.02e-02 	 3.47e-03 	 6.74e-03 	 4.08e-03
2.69 	 6.32e-02 	 2.08e-02 	 3.85e-02 	 7.48e-03 	 2.05e-02 	 7.32e-03 	 1.09e-02 	 4.51e-03 	 7.43e-03 	 4.24e-03
3.60 	 6.80e-02 	 2.14e-02 	 3.30e-02 	 8.78e-03 	 1.57e-02 	 6.47e-03 	 9.69e-03 	 4.96e-03 	 7.04e-03 	 3.79e-03
4.83 	 5.99e-02 	 8.38e-03 	 2.41e-02 	 5.47e-03 	 1.45e-02 	 5.67e-03 	 7.21e-03 	 3.66e-03 	 4.76e-03 	 3.52e-03
5.83 	 5.53e-02 	 1.57e-02 	 2.68e-02 	 6.30e-03 	 1.24e-02 	 9.33e-03 	 7.61e-03 	 4.62e-03 	 5.28e-03 	 3.83e-03
6.97 	 4.26e-02 	 6.45e-03 	 2.48e-02 	 5.40e-03 	 1.44e-02 	 6.05e-03 	 7.06e-03 	 4.35e-03 	 5.15e-03 	 3.50e-03
