0.00 	 8.71e-02 	 4.81e-02 	 2.14e-02 	 9.11e-03 	 6.20e-03
0.00 	 9.71e-02 	 4.83e-02 	 2.40e-02 	 1.07e-02 	 7.11e-03
0.00 	 1.03e-01 	 3.84e-02 	 2.29e-02 	 1.02e-02 	 6.67e-03
0.00 	 5.64e-02 	 2.22e-02 	 1.16e-02 	 6.33e-03 	 5.16e-03
0.88 	 9.09e-02 	 5.19e-02 	 1.72e-02 	 1.04e-02 	 8.42e-03
0.88 	 9.43e-02 	 4.51e-02 	 2.20e-02 	 1.19e-02 	 8.29e-03
0.88 	 7.71e-02 	 4.82e-02 	 2.27e-02 	 1.11e-02 	 8.79e-03
0.88 	 1.35e-01 	 5.01e-02 	 3.98e-02 	 1.33e-02 	 8.83e-03
1.81 	 9.79e-02 	 3.20e-02 	 2.26e-02 	 1.01e-02 	 6.75e-03
1.81 	 7.55e-02 	 2.86e-02 	 1.88e-02 	 1.02e-02 	 7.30e-03
1.81 	 8.01e-02 	 2.91e-02 	 1.95e-02 	 1.03e-02 	 7.27e-03
1.81 	 5.05e-02 	 3.21e-02 	 2.24e-02 	 1.02e-02 	 5.67e-03
2.69 	 4.15e-02 	 3.98e-02 	 2.20e-02 	 1.13e-02 	 8.77e-03
2.69 	 5.89e-02 	 3.95e-02 	 2.25e-02 	 1.03e-02 	 6.72e-03
2.69 	 6.95e-02 	 4.22e-02 	 2.31e-02 	 1.24e-02 	 7.36e-03
2.69 	 8.31e-02 	 3.25e-02 	 1.45e-02 	 9.60e-03 	 6.88e-03
3.60 	 6.18e-02 	 2.79e-02 	 1.55e-02 	 7.53e-03 	 6.98e-03
3.60 	 8.50e-02 	 4.04e-02 	 1.70e-02 	 1.15e-02 	 7.47e-03
3.60 	 7.97e-02 	 3.39e-02 	 1.90e-02 	 9.59e-03 	 7.32e-03
3.60 	 4.54e-02 	 3.00e-02 	 1.15e-02 	 1.01e-02 	 6.38e-03
4.83 	 6.59e-02 	 2.49e-02 	 1.72e-02 	 7.70e-03 	 4.81e-03
4.83 	 5.51e-02 	 2.17e-02 	 1.29e-02 	 6.93e-03 	 5.04e-03
4.83 	 5.62e-02 	 2.30e-02 	 1.22e-02 	 7.24e-03 	 4.67e-03
4.83 	 6.22e-02 	 2.66e-02 	 1.58e-02 	 6.96e-03 	 4.53e-03
5.83 	 5.62e-02 	 2.86e-02 	 1.51e-02 	 8.67e-03 	 4.64e-03
5.83 	 4.05e-02 	 2.85e-02 	 3.35e-03 	 7.54e-03 	 5.38e-03
5.83 	 7.07e-02 	 2.76e-02 	 1.58e-02 	 5.77e-03 	 5.21e-03
5.83 	 5.40e-02 	 2.23e-02 	 1.53e-02 	 8.46e-03 	 5.91e-03
6.97 	 4.66e-02 	 2.61e-02 	 1.25e-02 	 7.17e-03 	 5.33e-03
6.97 	 3.90e-02 	 2.30e-02 	 1.72e-02 	 8.45e-03 	 4.94e-03
6.97 	 4.32e-02 	 2.31e-02 	 1.62e-02 	 6.58e-03 	 5.06e-03
6.97 	 4.17e-02 	 2.71e-02 	 1.15e-02 	 6.02e-03 	 5.29e-03
