0.00 	 7.17e-02 	 2.87e-02 	 1.20e-02 	 7.36e-03 	 5.46e-03 	 3.37e-03
0.00 	 9.03e-02 	 3.58e-02 	 1.74e-02 	 9.15e-03 	 5.10e-03 	 3.59e-03
0.00 	 7.78e-02 	 5.72e-02 	 1.62e-02 	 7.85e-03 	 4.91e-03 	 4.53e-03
0.00 	 9.56e-02 	 5.85e-02 	 1.09e-02 	 1.05e-02 	 7.02e-03 	 4.28e-03
0.70 	 9.13e-02 	 4.38e-02 	 2.34e-02 	 1.21e-02 	 7.29e-03 	 4.21e-03
0.70 	 9.87e-02 	 5.34e-02 	 3.23e-02 	 1.43e-02 	 9.10e-03 	 5.28e-03
0.70 	 1.00e-01 	 6.73e-02 	 3.23e-02 	 1.27e-02 	 1.06e-02 	 4.81e-03
0.70 	 1.00e-01 	 5.48e-02 	 3.56e-02 	 1.38e-02 	 1.01e-02 	 4.63e-03
1.96 	 7.07e-02 	 3.84e-02 	 1.63e-02 	 9.75e-03 	 6.40e-03 	 3.07e-03
1.96 	 9.92e-02 	 4.15e-02 	 2.20e-02 	 1.07e-02 	 7.10e-03 	 3.58e-03
1.96 	 9.85e-02 	 3.38e-02 	 2.23e-02 	 9.33e-03 	 5.56e-03 	 3.40e-03
1.96 	 9.63e-02 	 7.67e-02 	 2.74e-02 	 1.30e-02 	 6.58e-03 	 3.33e-03
2.64 	 1.25e-01 	 6.05e-02 	 3.37e-02 	 2.06e-02 	 1.21e-02 	 3.86e-03
2.64 	 1.02e-01 	 8.91e-02 	 2.71e-02 	 2.11e-02 	 1.17e-02 	 5.59e-03
2.64 	 9.29e-02 	 6.88e-02 	 4.68e-02 	 1.57e-02 	 1.39e-02 	 4.98e-03
2.64 	 1.32e-01 	 7.79e-02 	 5.35e-02 	 2.40e-02 	 1.49e-02 	 4.67e-03
3.78 	 1.15e-01 	 4.83e-02 	 4.80e-02 	 2.66e-02 	 1.52e-02 	 4.70e-03
3.78 	 1.28e-01 	 6.63e-02 	 4.48e-02 	 3.04e-02 	 1.60e-02 	 4.98e-03
3.78 	 1.23e-01 	 7.06e-02 	 3.67e-02 	 2.90e-02 	 1.47e-02 	 6.31e-03
3.78 	 1.15e-01 	 8.36e-02 	 2.85e-02 	 1.53e-02 	 1.15e-02 	 5.07e-03
4.95 	 1.33e-01 	 9.27e-02 	 5.18e-02 	 3.04e-02 	 1.75e-02 	 5.29e-03
4.95 	 1.23e-01 	 9.42e-02 	 5.32e-02 	 4.36e-02 	 2.27e-02 	 4.85e-03
4.95 	 1.29e-01 	 1.11e-01 	 6.40e-02 	 5.16e-02 	 1.81e-02 	 6.30e-03
4.95 	 1.34e-01 	 1.25e-01 	 7.10e-02 	 4.51e-02 	 2.41e-02 	 5.93e-03
5.63 	 9.77e-02 	 8.28e-02 	 6.93e-02 	 5.65e-02 	 2.76e-02 	 5.94e-03
5.63 	 1.17e-01 	 1.23e-01 	 9.33e-02 	 5.94e-02 	 2.80e-02 	 7.38e-03
5.63 	 1.24e-01 	 1.29e-01 	 1.01e-01 	 6.45e-02 	 3.00e-02 	 8.28e-03
5.63 	 1.28e-01 	 1.20e-01 	 1.13e-01 	 6.32e-02 	 2.76e-02 	 7.79e-03
6.63 	 1.16e-01 	 1.03e-01 	 8.87e-02 	 6.60e-02 	 3.68e-02 	 8.60e-03
6.63 	 1.09e-01 	 1.15e-01 	 1.03e-01 	 7.14e-02 	 3.27e-02 	 5.82e-03
6.63 	 1.06e-01 	 1.15e-01 	 1.11e-01 	 6.37e-02 	 4.34e-02 	 9.90e-03
6.63 	 1.14e-01 	 1.16e-01 	 1.26e-01 	 5.34e-02 	 4.74e-02 	 6.36e-03
7.29 	 1.11e-01 	 1.20e-01 	 9.33e-02 	 8.62e-02 	 6.62e-02 	 1.82e-02
7.29 	 1.12e-01 	 1.22e-01 	 1.19e-01 	 9.33e-02 	 6.48e-02 	 1.62e-02
7.29 	 1.20e-01 	 1.03e-01 	 7.73e-02 	 6.93e-02 	 6.96e-02 	 1.56e-02
7.29 	 1.10e-01 	 9.30e-02 	 1.02e-01 	 7.71e-02 	 5.97e-02 	 1.44e-02
8.69 	 1.32e-01 	 1.25e-01 	 1.33e-01 	 1.07e-01 	 6.68e-02 	 6.36e-03
8.69 	 1.38e-01 	 1.25e-01 	 1.39e-01 	 1.10e-01 	 5.13e-02 	 1.13e-02
8.69 	 1.28e-01 	 1.31e-01 	 1.39e-01 	 8.81e-02 	 5.63e-02 	 1.04e-02
8.69 	 1.32e-01 	 1.32e-01 	 1.13e-01 	 1.05e-01 	 7.45e-02 	 1.23e-02
9.64 	 1.17e-01 	 1.08e-01 	 1.26e-01 	 9.38e-02 	 5.52e-02 	 2.19e-02
9.64 	 1.11e-01 	 1.28e-01 	 1.31e-01 	 1.04e-01 	 8.76e-02 	 2.36e-02
9.64 	 1.15e-01 	 1.30e-01 	 1.29e-01 	 9.63e-02 	 8.05e-02 	 1.93e-02
9.64 	 1.16e-01 	 1.23e-01 	 9.71e-02 	 1.17e-01 	 1.17e-01 	 2.65e-02
10.70 	 1.11e-01 	 1.17e-01 	 1.23e-01 	 1.20e-01 	 9.41e-02 	 2.56e-02
10.70 	 1.17e-01 	 1.10e-01 	 1.17e-01 	 1.07e-01 	 1.07e-01 	 3.22e-02
10.70 	 1.12e-01 	 1.43e-01 	 1.21e-01 	 1.19e-01 	 9.62e-02 	 3.73e-02
10.70 	 1.04e-01 	 1.34e-01 	 1.25e-01 	 1.30e-01 	 1.05e-01 	 5.27e-02
11.70 	 1.03e-01 	 1.03e-01 	 1.07e-01 	 1.14e-01 	 8.77e-02 	 7.58e-02
11.70 	 1.10e-01 	 1.13e-01 	 1.23e-01 	 1.08e-01 	 8.80e-02 	 4.46e-02
11.70 	 1.17e-01 	 1.16e-01 	 9.79e-02 	 1.12e-01 	 9.72e-02 	 3.70e-02
11.70 	 1.25e-01 	 1.30e-01 	 9.68e-02 	 9.86e-02 	 1.10e-01 	 5.55e-02
12.68 	 1.06e-01 	 1.07e-01 	 9.77e-02 	 9.37e-02 	 9.32e-02 	 1.93e-02
12.68 	 1.12e-01 	 9.64e-02 	 1.09e-01 	 1.20e-01 	 9.13e-02 	 3.80e-02
12.68 	 1.08e-01 	 1.08e-01 	 1.14e-01 	 1.03e-01 	 9.38e-02 	 5.13e-02
12.68 	 1.07e-01 	 1.16e-01 	 1.24e-01 	 1.25e-01 	 1.01e-01 	 5.53e-02
13.90 	 1.16e-01 	 1.13e-01 	 1.13e-01 	 1.29e-01 	 1.03e-01 	 2.69e-02
13.90 	 1.15e-01 	 1.15e-01 	 1.18e-01 	 1.18e-01 	 1.09e-01 	 3.51e-02
13.90 	 1.16e-01 	 1.15e-01 	 1.18e-01 	 1.16e-01 	 9.26e-02 	 3.59e-02
13.90 	 1.11e-01 	 1.13e-01 	 1.15e-01 	 1.08e-01 	 1.07e-01 	 5.17e-02
14.68 	 1.15e-01 	 1.02e-01 	 9.59e-02 	 9.49e-02 	 6.96e-02 	 5.07e-02
14.68 	 1.04e-01 	 9.73e-02 	 1.05e-01 	 7.84e-02 	 9.30e-02 	 7.98e-02
14.68 	 1.05e-01 	 1.08e-01 	 1.01e-01 	 1.11e-01 	 1.24e-01 	 5.90e-02
14.68 	 1.22e-01 	 1.20e-01 	 9.17e-02 	 1.13e-01 	 1.10e-01 	 7.16e-02
15.59 	 1.04e-01 	 1.09e-01 	 1.15e-01 	 1.06e-01 	 9.94e-02 	 6.22e-02
15.59 	 9.82e-02 	 1.17e-01 	 1.32e-01 	 1.17e-01 	 9.62e-02 	 8.44e-02
15.59 	 1.13e-01 	 1.10e-01 	 1.01e-01 	 1.16e-01 	 9.90e-02 	 6.26e-02
15.59 	 1.06e-01 	 1.25e-01 	 1.22e-01 	 1.19e-01 	 1.04e-01 	 7.35e-02
16.85 	 1.01e-01 	 9.56e-02 	 8.46e-02 	 9.12e-02 	 9.47e-02 	 6.38e-02
16.85 	 1.07e-01 	 1.22e-01 	 1.16e-01 	 1.08e-01 	 9.75e-02 	 6.17e-02
16.85 	 1.08e-01 	 1.03e-01 	 1.05e-01 	 9.80e-02 	 1.19e-01 	 9.94e-02
16.85 	 1.14e-01 	 1.14e-01 	 1.01e-01 	 1.13e-01 	 1.23e-01 	 8.66e-02
17.75 	 1.03e-01 	 1.05e-01 	 8.99e-02 	 9.58e-02 	 9.65e-02 	 6.05e-02
17.75 	 1.01e-01 	 1.08e-01 	 9.65e-02 	 1.14e-01 	 1.11e-01 	 7.13e-02
17.75 	 1.00e-01 	 1.05e-01 	 1.16e-01 	 1.19e-01 	 1.13e-01 	 8.08e-02
17.75 	 1.14e-01 	 9.64e-02 	 1.18e-01 	 1.05e-01 	 1.13e-01 	 7.79e-02
18.78 	 1.08e-01 	 1.03e-01 	 8.64e-02 	 1.04e-01 	 9.02e-02 	 6.97e-02
18.78 	 1.03e-01 	 1.32e-01 	 1.39e-01 	 1.06e-01 	 9.09e-02 	 9.61e-02
18.78 	 1.15e-01 	 1.29e-01 	 1.06e-01 	 1.10e-01 	 1.08e-01 	 8.79e-02
18.78 	 1.25e-01 	 1.37e-01 	 1.31e-01 	 1.26e-01 	 1.29e-01 	 8.36e-02
19.55 	 1.01e-01 	 1.05e-01 	 9.86e-02 	 1.06e-01 	 9.45e-02 	 6.40e-02
19.55 	 1.08e-01 	 1.13e-01 	 1.13e-01 	 1.09e-01 	 9.18e-02 	 7.18e-02
19.55 	 1.04e-01 	 1.11e-01 	 1.07e-01 	 1.07e-01 	 1.11e-01 	 8.46e-02
19.55 	 9.81e-02 	 1.18e-01 	 1.17e-01 	 1.19e-01 	 1.09e-01 	 1.09e-01
20.66 	 1.08e-01 	 1.06e-01 	 1.09e-01 	 1.16e-01 	 1.09e-01 	 8.87e-02
20.66 	 8.84e-02 	 1.11e-01 	 8.62e-02 	 1.17e-01 	 1.13e-01 	 7.27e-02
20.66 	 9.67e-02 	 1.09e-01 	 1.05e-01 	 1.07e-01 	 1.16e-01 	 8.46e-02
20.66 	 9.93e-02 	 1.05e-01 	 1.05e-01 	 1.12e-01 	 1.20e-01 	 6.88e-02
