0.00 	 8.38e-02 	 1.34e-02 	 4.51e-02 	 1.74e-02 	 1.41e-02 	 5.53e-03 	 8.71e-03 	 3.77e-03 	 5.62e-03 	 3.34e-03 	 3.94e-03 	 2.96e-03
0.70 	 9.76e-02 	 6.60e-03 	 5.48e-02 	 1.20e-02 	 3.09e-02 	 7.58e-03 	 1.32e-02 	 3.31e-03 	 9.28e-03 	 3.81e-03 	 4.73e-03 	 2.79e-03
1.96 	 9.11e-02 	 1.60e-02 	 4.76e-02 	 2.20e-02 	 2.20e-02 	 6.92e-03 	 1.07e-02 	 4.00e-03 	 6.41e-03 	 2.98e-03 	 3.34e-03 	 2.56e-03
2.64 	 1.13e-01 	 2.08e-02 	 7.41e-02 	 1.46e-02 	 4.03e-02 	 1.44e-02 	 2.03e-02 	 5.82e-03 	 1.31e-02 	 3.96e-03 	 4.78e-03 	 3.22e-03
3.78 	 1.20e-01 	 8.87e-03 	 6.72e-02 	 1.69e-02 	 3.95e-02 	 1.11e-02 	 2.53e-02 	 9.23e-03 	 1.43e-02 	 4.34e-03 	 5.26e-03 	 3.06e-03
4.95 	 1.30e-01 	 7.56e-03 	 1.06e-01 	 1.77e-02 	 6.00e-02 	 1.15e-02 	 4.27e-02 	 1.12e-02 	 2.06e-02 	 5.62e-03 	 5.59e-03 	 2.99e-03
5.63 	 1.17e-01 	 1.58e-02 	 1.14e-01 	 2.34e-02 	 9.40e-02 	 2.06e-02 	 6.09e-02 	 5.95e-03 	 2.83e-02 	 3.48e-03 	 7.35e-03 	 3.35e-03
6.63 	 1.11e-01 	 6.67e-03 	 1.12e-01 	 8.54e-03 	 1.07e-01 	 1.79e-02 	 6.37e-02 	 9.88e-03 	 4.01e-02 	 8.89e-03 	 7.67e-03 	 4.25e-03
7.29 	 1.13e-01 	 6.87e-03 	 1.09e-01 	 1.62e-02 	 9.81e-02 	 1.99e-02 	 8.15e-02 	 1.28e-02 	 6.51e-02 	 6.49e-03 	 1.61e-02 	 3.93e-03
8.69 	 1.33e-01 	 6.55e-03 	 1.28e-01 	 6.42e-03 	 1.31e-01 	 1.48e-02 	 1.03e-01 	 1.24e-02 	 6.22e-02 	 1.28e-02 	 1.01e-02 	 4.95e-03
9.64 	 1.15e-01 	 4.88e-03 	 1.22e-01 	 1.21e-02 	 1.21e-01 	 1.82e-02 	 1.03e-01 	 1.29e-02 	 8.52e-02 	 2.80e-02 	 2.28e-02 	 5.33e-03
10.70 	 1.11e-01 	 7.45e-03 	 1.26e-01 	 1.71e-02 	 1.21e-01 	 5.51e-03 	 1.19e-01 	 1.15e-02 	 1.00e-01 	 8.58e-03 	 3.69e-02 	 1.39e-02
11.70 	 1.14e-01 	 1.16e-02 	 1.15e-01 	 1.35e-02 	 1.06e-01 	 1.42e-02 	 1.08e-01 	 9.13e-03 	 9.57e-02 	 1.27e-02 	 5.32e-02 	 1.92e-02
12.68 	 1.08e-01 	 5.22e-03 	 1.07e-01 	 1.04e-02 	 1.11e-01 	 1.33e-02 	 1.10e-01 	 1.70e-02 	 9.48e-02 	 6.46e-03 	 4.10e-02 	 1.86e-02
13.90 	 1.15e-01 	 4.57e-03 	 1.14e-01 	 3.67e-03 	 1.16e-01 	 4.86e-03 	 1.18e-01 	 1.11e-02 	 1.03e-01 	 9.83e-03 	 3.74e-02 	 1.27e-02
14.68 	 1.12e-01 	 1.09e-02 	 1.07e-01 	 1.21e-02 	 9.83e-02 	 8.06e-03 	 9.94e-02 	 1.85e-02 	 9.92e-02 	 2.58e-02 	 6.53e-02 	 1.53e-02
15.59 	 1.06e-01 	 8.60e-03 	 1.15e-01 	 9.78e-03 	 1.18e-01 	 1.57e-02 	 1.14e-01 	 8.39e-03 	 9.95e-02 	 5.34e-03 	 7.07e-02 	 1.29e-02
16.85 	 1.08e-01 	 7.53e-03 	 1.09e-01 	 1.40e-02 	 1.02e-01 	 1.52e-02 	 1.03e-01 	 1.23e-02 	 1.08e-01 	 1.68e-02 	 7.79e-02 	 2.06e-02
17.75 	 1.05e-01 	 8.84e-03 	 1.04e-01 	 7.40e-03 	 1.05e-01 	 1.63e-02 	 1.08e-01 	 1.25e-02 	 1.08e-01 	 1.03e-02 	 7.26e-02 	 1.13e-02
18.78 	 1.13e-01 	 1.20e-02 	 1.25e-01 	 1.77e-02 	 1.16e-01 	 2.65e-02 	 1.11e-01 	 1.26e-02 	 1.04e-01 	 2.04e-02 	 8.43e-02 	 1.34e-02
19.55 	 1.03e-01 	 6.52e-03 	 1.12e-01 	 7.51e-03 	 1.09e-01 	 1.02e-02 	 1.10e-01 	 8.15e-03 	 1.01e-01 	 1.20e-02 	 8.23e-02 	 2.20e-02
20.66 	 9.80e-02 	 1.03e-02 	 1.08e-01 	 5.14e-03 	 1.01e-01 	 1.25e-02 	 1.13e-01 	 7.00e-03 	 1.15e-01 	 7.22e-03 	 7.87e-02 	 1.18e-02
