0.00 	 8.10e-02 	 4.61e-02 	 2.26e-02
0.00 	 8.65e-02 	 4.36e-02 	 2.05e-02
0.00 	 8.44e-02 	 3.97e-02 	 1.96e-02
0.00 	 8.57e-02 	 3.98e-02 	 2.15e-02
0.71 	 8.46e-02 	 4.60e-02 	 2.47e-02
0.71 	 9.29e-02 	 5.17e-02 	 2.84e-02
0.71 	 1.10e-01 	 6.33e-02 	 3.00e-02
0.71 	 1.13e-01 	 7.83e-02 	 2.84e-02
1.70 	 8.74e-02 	 8.18e-02 	 2.58e-02
1.70 	 1.12e-01 	 5.04e-02 	 2.94e-02
1.70 	 9.63e-02 	 7.10e-02 	 2.69e-02
1.70 	 1.03e-01 	 6.40e-02 	 3.29e-02
2.87 	 7.19e-02 	 4.18e-02 	 2.57e-02
2.87 	 8.85e-02 	 5.14e-02 	 3.01e-02
2.87 	 1.06e-01 	 7.28e-02 	 2.71e-02
2.87 	 1.21e-01 	 6.85e-02 	 3.24e-02
3.81 	 1.02e-01 	 7.40e-02 	 4.32e-02
3.81 	 9.04e-02 	 9.03e-02 	 5.92e-02
3.81 	 1.16e-01 	 1.00e-01 	 5.63e-02
3.81 	 1.32e-01 	 9.43e-02 	 7.27e-02
4.68 	 9.78e-02 	 7.74e-02 	 4.85e-02
4.68 	 1.10e-01 	 9.29e-02 	 6.38e-02
4.68 	 1.32e-01 	 1.04e-01 	 6.61e-02
4.68 	 1.24e-01 	 9.85e-02 	 7.82e-02
5.87 	 1.32e-01 	 9.63e-02 	 6.21e-02
5.87 	 1.12e-01 	 9.15e-02 	 7.86e-02
5.87 	 1.18e-01 	 1.00e-01 	 8.57e-02
5.87 	 9.55e-02 	 1.12e-01 	 9.02e-02
6.99 	 9.88e-02 	 9.17e-02 	 6.69e-02
6.99 	 1.28e-01 	 9.76e-02 	 8.35e-02
6.99 	 1.19e-01 	 1.06e-01 	 9.21e-02
6.99 	 1.14e-01 	 1.18e-01 	 9.50e-02
