0.00 	 8.44e-02 	 8.49e-03 	 4.23e-02 	 9.22e-03 	 2.10e-02 	 7.38e-03
0.71 	 1.00e-01 	 1.96e-02 	 5.98e-02 	 2.03e-02 	 2.79e-02 	 8.28e-03
1.70 	 9.96e-02 	 1.64e-02 	 6.68e-02 	 1.92e-02 	 2.87e-02 	 9.19e-03
2.87 	 9.67e-02 	 2.73e-02 	 5.86e-02 	 2.06e-02 	 2.88e-02 	 9.03e-03
3.81 	 1.10e-01 	 2.38e-02 	 8.97e-02 	 1.73e-02 	 5.79e-02 	 1.81e-02
4.68 	 1.16e-01 	 2.12e-02 	 9.32e-02 	 1.76e-02 	 6.41e-02 	 1.82e-02
5.87 	 1.14e-01 	 2.10e-02 	 1.00e-01 	 1.49e-02 	 7.92e-02 	 1.84e-02
6.99 	 1.15e-01 	 1.84e-02 	 1.03e-01 	 1.76e-02 	 8.44e-02 	 1.87e-02
