0.00 	 8.49e-02 	 1.42e-02 	 4.07e-02 	 1.09e-02 	 2.22e-02 	 9.39e-03
0.71 	 8.22e-02 	 1.75e-02 	 5.99e-02 	 1.94e-02 	 2.76e-02 	 1.28e-02
1.70 	 9.46e-02 	 1.37e-02 	 6.73e-02 	 2.30e-02 	 2.79e-02 	 1.47e-02
2.87 	 9.92e-02 	 9.36e-03 	 7.73e-02 	 2.22e-02 	 3.14e-02 	 1.41e-02
3.81 	 1.09e-01 	 2.52e-02 	 1.08e-01 	 2.17e-02 	 6.87e-02 	 3.28e-02
4.68 	 1.37e-01 	 1.16e-02 	 1.28e-01 	 2.00e-02 	 9.42e-02 	 1.64e-02
5.87 	 1.16e-01 	 2.24e-02 	 1.27e-01 	 1.78e-02 	 1.02e-01 	 1.60e-02
6.99 	 1.14e-01 	 1.28e-02 	 1.20e-01 	 1.03e-02 	 1.14e-01 	 1.09e-02
