0.00 	 7.72e-02 	 3.98e-02 	 2.17e-02
0.00 	 8.67e-02 	 4.28e-02 	 2.28e-02
0.00 	 8.36e-02 	 3.71e-02 	 2.05e-02
0.00 	 9.20e-02 	 4.31e-02 	 2.37e-02
0.71 	 9.43e-02 	 6.38e-02 	 2.62e-02
0.71 	 8.54e-02 	 5.40e-02 	 2.87e-02
0.71 	 7.44e-02 	 7.40e-02 	 3.34e-02
0.71 	 7.48e-02 	 4.80e-02 	 2.20e-02
1.70 	 8.99e-02 	 7.24e-02 	 3.14e-02
1.70 	 9.70e-02 	 6.95e-02 	 2.56e-02
1.70 	 8.99e-02 	 8.11e-02 	 3.49e-02
1.70 	 1.02e-01 	 4.60e-02 	 1.97e-02
2.87 	 9.91e-02 	 7.83e-02 	 3.44e-02
2.87 	 9.86e-02 	 8.33e-02 	 2.88e-02
2.87 	 9.79e-02 	 9.03e-02 	 3.81e-02
2.87 	 1.01e-01 	 5.73e-02 	 2.42e-02
3.81 	 1.27e-01 	 1.12e-01 	 5.19e-02
3.81 	 8.87e-02 	 1.27e-01 	 8.12e-02
3.81 	 1.19e-01 	 9.74e-02 	 4.45e-02
3.81 	 1.02e-01 	 9.85e-02 	 9.73e-02
4.68 	 1.38e-01 	 1.39e-01 	 9.01e-02
4.68 	 1.31e-01 	 1.33e-01 	 1.02e-01
4.68 	 1.39e-01 	 1.28e-01 	 1.00e-01
4.68 	 1.38e-01 	 1.11e-01 	 8.44e-02
5.87 	 1.24e-01 	 1.14e-01 	 1.02e-01
5.87 	 1.13e-01 	 1.31e-01 	 1.07e-01
5.87 	 9.76e-02 	 1.27e-01 	 9.03e-02
5.87 	 1.31e-01 	 1.37e-01 	 1.07e-01
6.99 	 1.12e-01 	 1.20e-01 	 1.17e-01
6.99 	 1.21e-01 	 1.21e-01 	 1.12e-01
6.99 	 1.14e-01 	 1.21e-01 	 1.11e-01
6.99 	 1.10e-01 	 1.16e-01 	 1.14e-01
