0.00 	 8.77e-02 	 4.03e-02 	 1.86e-02
0.00 	 9.27e-02 	 3.83e-02 	 1.78e-02
0.00 	 9.32e-02 	 3.77e-02 	 2.30e-02
0.00 	 6.74e-02 	 4.04e-02 	 3.41e-02
0.71 	 8.93e-02 	 3.39e-02 	 1.61e-02
0.71 	 9.85e-02 	 3.44e-02 	 1.62e-02
0.71 	 9.50e-02 	 3.84e-02 	 1.73e-02
0.71 	 8.96e-02 	 4.25e-02 	 2.08e-02
1.70 	 7.33e-02 	 2.86e-02 	 9.77e-03
1.70 	 7.39e-02 	 2.28e-02 	 7.96e-03
1.70 	 8.16e-02 	 1.52e-02 	 6.57e-03
1.70 	 4.72e-02 	 2.38e-02 	 8.48e-03
2.87 	 6.12e-02 	 1.70e-02 	 6.97e-03
2.87 	 3.02e-02 	 1.82e-02 	 5.73e-03
2.87 	 5.00e-02 	 1.50e-02 	 8.26e-03
2.87 	 4.05e-02 	 2.14e-02 	 1.26e-02
3.81 	 4.63e-02 	 1.97e-02 	 7.77e-03
3.81 	 3.76e-02 	 1.17e-02 	 7.19e-03
3.81 	 3.12e-02 	 2.08e-02 	 8.48e-03
3.81 	 2.82e-02 	 1.77e-02 	 7.26e-03
4.68 	 4.29e-02 	 1.38e-02 	 7.28e-03
4.68 	 4.06e-02 	 1.47e-02 	 6.80e-03
4.68 	 4.00e-02 	 1.27e-02 	 7.68e-03
4.68 	 3.17e-02 	 1.76e-02 	 7.00e-03
5.87 	 2.33e-02 	 1.49e-02 	 7.11e-03
5.87 	 1.95e-02 	 1.74e-02 	 6.79e-03
5.87 	 9.77e-03 	 1.20e-02 	 5.62e-03
5.87 	 2.77e-02 	 8.28e-03 	 7.78e-03
6.99 	 1.13e-02 	 8.38e-03 	 7.13e-03
6.99 	 8.04e-03 	 9.75e-03 	 7.16e-03
6.99 	 9.73e-03 	 1.15e-02 	 5.84e-03
6.99 	 9.67e-03 	 9.39e-03 	 5.33e-03
