0.00 	 8.97e-02 	 3.53e-02 	 2.26e-02
0.00 	 9.47e-02 	 3.80e-02 	 2.47e-02
0.00 	 7.71e-02 	 4.33e-02 	 2.13e-02
0.00 	 7.95e-02 	 3.94e-02 	 2.55e-02
0.71 	 1.07e-01 	 5.24e-02 	 3.52e-02
0.71 	 1.13e-01 	 6.19e-02 	 3.15e-02
0.71 	 1.02e-01 	 5.12e-02 	 2.90e-02
0.71 	 9.01e-02 	 6.52e-02 	 3.37e-02
1.70 	 1.05e-01 	 7.76e-02 	 3.70e-02
1.70 	 1.19e-01 	 7.86e-02 	 4.05e-02
1.70 	 9.70e-02 	 8.76e-02 	 2.85e-02
1.70 	 1.22e-01 	 9.96e-02 	 3.76e-02
2.87 	 1.12e-01 	 9.08e-02 	 4.87e-02
2.87 	 1.17e-01 	 8.56e-02 	 3.28e-02
2.87 	 1.16e-01 	 9.17e-02 	 4.03e-02
2.87 	 1.15e-01 	 9.38e-02 	 5.58e-02
3.81 	 1.29e-01 	 1.35e-01 	 8.93e-02
3.81 	 1.34e-01 	 1.39e-01 	 6.77e-02
3.81 	 1.12e-01 	 1.27e-01 	 7.08e-02
3.81 	 1.44e-01 	 1.20e-01 	 7.73e-02
4.68 	 1.59e-01 	 1.50e-01 	 1.20e-01
4.68 	 1.53e-01 	 1.45e-01 	 9.63e-02
4.68 	 1.57e-01 	 1.43e-01 	 9.56e-02
4.68 	 1.58e-01 	 1.35e-01 	 9.12e-02
5.87 	 1.46e-01 	 1.39e-01 	 1.12e-01
5.87 	 1.39e-01 	 1.26e-01 	 1.30e-01
5.87 	 1.33e-01 	 1.34e-01 	 1.30e-01
5.87 	 1.58e-01 	 1.17e-01 	 1.22e-01
6.99 	 1.32e-01 	 1.37e-01 	 1.45e-01
6.99 	 1.28e-01 	 1.18e-01 	 1.38e-01
6.99 	 1.36e-01 	 1.31e-01 	 1.31e-01
6.99 	 1.30e-01 	 1.20e-01 	 1.32e-01
